"Cherokee Nation Technologies, LLC",831891788,A6
"Credence Management Solutions, LLC",805875718,A6
"Dakota Consulting, Inc.",168926264,A6
"Ikun, LLC",786997739,A6
"Infinity Technology, LLC",198024809,A6
"ITA International, LLC",799582379,A6
"Miracle Systems, LLC",133239397,A6
Niksoft Systems Corporation,071215037,A6
"MOSAIC Technologies Group, Inc.",182935002,A6
"Panum Telecom, LLC dba Panum Group, LLC",017433348,A6
"Solutions Through Innovative Technologies, Inc.",003592412,A6
"T3W Business Solutions, Inc.",600985738,A6
Bevilaqua Research Corporation,806849303,XX
ELEIT Technology,160062311,XX
"McManis Associates, Inc., dba McManis & Monslave Associates",072637457,XX
"DRT Strategies, Inc.",142428783,A6
"Hamilton Enterprises, LLC",825487130,A6
"Client Solution Architects, LLC",130196814,A6
Constellation Software Engineering Corporation,102061012,A6
"Ki Ho Military Acquisition Consulting, Inc.",137768482,A6
Peerless Technologies Corporation,132729877,A6
Skylla Engineering Ltd.,169401895,A6
"HX5, LLC",781841080,A6
